Geo_FIPS,Geo_NAME,Geo_QNAME,total_population,density,total_units,occupied_units,vacant_units
17005,Bond County,"Bond County, Illinois",16725,43.97430127,6858,6164,694
17013,Calhoun County,"Calhoun County, Illinois",4437,17.48024237,2282,1831,451
17027,Clinton County,"Clinton County, Illinois",36899,77.85564039,15574,14258,1316
17083,Jersey County,"Jersey County, Illinois",21512,58.19400081,9754,8652,1102
17117,Macoupin County,"Macoupin County, Illinois",44967,52.10703232,21023,18804,2219
17119,Madison County,"Madison County, Illinois",265859,371.5706543,118579,108607,9972
17133,Monroe County,"Monroe County, Illinois",34962,90.73350113,14540,13752,788
17163,St. Clair County,"St. Clair County, Illinois",257400,391.3578803,114595,103134,11461
29055,Crawford County,"Crawford County, Missouri",23056,31.05282393,11378,9314,2064
29071,Franklin County,"Franklin County, Missouri",104682,113.4580537,45275,41476,3799
29099,Jefferson County,"Jefferson County, Missouri",226739,345.404226,92385,86959,5426
29113,Lincoln County,"Lincoln County, Missouri",59574,95.07934882,23366,21812,1554
29183,St. Charles County,"St. Charles County, Missouri",405262,723.0346684,161144,154851,6293
29219,Warren County,"Warren County, Missouri",35532,82.9002771,15355,13578,1777
29510,St. Louis city,"St. Louis City, Missouri",301578,4884.957165,173479,144870,28609
